SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0001,0.0,0,615,18690000
S01,P0002,0.0,0,6625,27590000
S01,P0003,0.0,0,159,35990000
S01,P0004,0.0,0,5998,17690000
S01,P0005,0.0,0,886,18990000
S01,P0006,0.0,0,1192,52910000
S01,P0007,0.0,0,9504,19990000
S01,P0008,0.0,0,1966,36990000
S01,P0009,0.0,0,13380,28790000
S01,P0010,0.0,0,186,14290000
S01,P0011,0.0,0,388,33990000
S01,P0012,0.0,0,15174,20990000
S01,P0013,0.0,0,513,23990000
S01,P0014,0.0,0,12470,22990000
S01,P0015,0.0,0,2730,34490000
S01,P0016,0.0,0,11997,28390000
S01,P0017,0.0,0,3025,69900000
S01,P0018,0.0,0,4548,20490000
S01,P0019,0.0,0,17023,15990000
S01,P0020,0.0,0,2727,24590000
S01,P0021,0.0,1,11607,22490000
S01,P0022,0.0,0,4423,23990000
S01,P0023,0.0,0,3846,22490000
S01,P0024,0.0,0,6174,22990000
S01,P0025,0.0,0,3313,24990000
S01,P0026,0.0,0,3621,25290000
S01,P0027,0.0,0,13239,20490000
S01,P0028,0.0,0,21596,29990000
S01,P0029,0.0,1,11614,24499000
S01,P0030,0.0,0,4170,64990000
S01,P0031,0.0,0,3505,29490000
S01,P0032,0.0,0,9429,15990000
S01,P0033,0.0,0,314,62990000
S01,P0034,0.0,4,3005,59990000
S01,P0035,0.0,0,1224,50750000
S01,P0036,0.0,0,187,107900000
S01,P0037,0.0,0,1924,22690000
S01,P0038,0.0,0,5173,26490000
S01,P0039,0.0,0,3439,35630000
S01,P0040,0.0,0,11514,33990000
S01,P0041,0.0,0,12434,23990000
S01,P0042,0.0,0,12658,69990000
S01,P0043,0.0,0,3801,43990000
S01,P0044,0.0,0,8670,22990000
S01,P0045,0.0,0,41028,33799000
S01,P0046,0.0,0,1323,32990000
S01,P0047,0.0,0,43871,31990000
S01,P0048,0.0,0,6119,47990000
S01,P0049,0.0,0,6999,22999000
S01,P0050,0.0,0,6690,61990000
S01,P0051,0.0,0,1884,26290000
S01,P0052,0.0,0,1723,70129000
S01,P0053,0.0,0,45,18899000
S01,P0054,0.0,0,58,47690000
S01,P0055,0.0,0,1386,57990000
S01,P0056,0.0,0,9304,25990000
S01,P0057,0.0,0,41940,53990000
S01,P0058,0.0,0,4638,29390000
S01,P0059,0.0,0,5757,56790000
S01,P0060,0.0,0,7776,27990000
S01,P0061,0.0,0,17758,30990000
S01,P0062,0.0,0,12822,42590000
S01,P0063,0.0,0,384,37990000
S01,P0064,0.0,0,828,53990000
S01,P0065,0.0,0,16599,27990000
S01,P0066,0.0,0,3454,27890000
S01,P0067,0.0,0,2191,29590000
S01,P0068,0.0,0,924,42990000
S01,P0069,0.0,2,28566,10990000
S01,P0070,0.0,0,4830,24090000
S01,P0071,0.0,0,21056,32890000
S01,P0072,0.0,0,9757,72990000
S01,P0073,0.0,0,11031,19990000
S01,P0074,0.0,0,5609,59990000
S01,P0075,0.0,0,27765,41490000
S01,P0076,0.0,0,240,23290000
S01,P0077,0.0,0,17416,13990000
