ProductID,ProductName,Brand,Category,CPUBrand,CPUFamily,GPUType,GPUModel,RamCapacity,RamType,StorageCapacity,StorageType,DisplaySize,DisplayResolution,DisplayRefreshRate,OSFamily,DesignWeight,IsAiLaptop,IsAvailable
P0247,Laptop Asus Vivobook S16 S3607QA-SH040WS (Snapdragon X  X1 26 100 | 16GB | 512GB | Qualcomm Adreno | 16 inch WUXGA 60Hz | Win 11 | Office | Xám),Asus,Office,Qualcomm,Snapdragon (ARM),Integrated,Intel Arc / Integrated,,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.74,True,True
P0248,Laptop Acer Predator Helios Neo 16 PHN16-71-74QR NH.QLVSV.002 (Intel Core i7-13700HX | 16GB | 512GB | RTX 4070 8GB GDDR6 | 16 inch WQXGA | Win 11 | Obsidian Black),Acer,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,2.6,False,True
P0249,Laptop HP Elitebook 630 G11 A7LL8PT (Intel Core Ultra 5-125U | 16GB | 512GB | 13.3 inch WUXGA | Win 11 | Bạc | Vỏ nhôm),HP,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.3,True,True
P0250,Laptop ASUS ExpertBook P1403CVA-i716-50W (Intel Core i7-13620H | Intel UHD | 14 inch FHD | 16GB | 512GB | Win 11 | Xám),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.4,False,True
P0251,Laptop Lenovo Legion 9 16IRX9 83G0001AVN (Intel Core i9-14900HX |RTX 4090 16GB | 64GB | 2TB |  16 inch 3.2K | Win 11 | Đen),Lenovo,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,64.0,DDR5 / LPDDR5,2048.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,2.6,False,True
P0252,Laptop MSI Raider 18 HX A14VHG 230VN (Core i9-14900HX | 32GB | 2TB | RTX 4080 | 18 inch UHD+ | Win 11 | Đen),MSI,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,32.0,DDR5 / LPDDR5,2048.0,SSD,"17.3"" - 18.0""",4K,120 - 165,Windows,3.6,False,True
P0253,Laptop Asus ROG Zephyrus G16 GU605CX-QR147W (Intel Core Ultra 9 Processor 285H | RTX 5090 24GB | 16 inch 2.5K 240Hz OLED | 64GB | 2TB | Win 11 | Xám),Asus,Gaming,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,64.0,DDR5 / LPDDR5,2048.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,1.95,True,True
P0254,Laptop Acer Aspire Go 15 AG15-72P-54GY NX.JRRSV.002 (Intel Core 5 processor 120U | 16GB | 512GB | Intel UHD | 15.6 inch FHD 60Hz | Win 11 | Bạc),Acer,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR4 / LPDDR4,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.53,False,True
P0255,Laptop Lenovo Yoga Slim 7 14IMH9 83CV00AJVN (Intel Core Ultra 7 155H | 32GB | 1TB | 14 inch WUXGA | Intel Arc Graphics | Windows 11 Home SL | Office | Xám),Lenovo,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.39,True,True
P0256,Laptop Dell 15 DC15255 DC5R5802W1 (Ryzen 5 7530U | 16GB | 512GB | AMD Radeon Graphics | 15.6 inch FHD 120Hz | Win 11 | Office | Bạc),Dell,Office,AMD,AMD Ryzen,Integrated,AMD Radeon,16.0,DDR4 / LPDDR4,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,1.65,False,True
P0257,Laptop ASUS ExpertBook P1503CVA-C5H16-63WS (Intel Core 5 Processor 210H | Intel Graphics | 15.6 inch FHD | 16GB | 512GB | Win 11 | Office | Xám),Asus,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.68,False,True
P0258,Laptop Gigabyte AORUS 16X 9KG-43VNC54SH (Intel Core i7-13650HX | RTX 4060 | 16 inch WQXGA | 16GB | 1TB | Win 11 | Xám),Gigabyte,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,2.3,False,True
P0259,Laptop ASUS TUF Gaming F16 FX607VU-RL045W (Intel Core 5 210H | 16GB | 512GB | 16 inch FHD+ | RTX 4050 | Windows 11 Home | Xám),Asus,Gaming,Intel,Intel Core,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,120 - 165,Windows,2.2,False,True
P0260,Laptop MSI Venture A16 AI+ A3HMG-017VN (Ryzen AI 7 350 | AMD Radeon Graphics | 16 inch 2K OLED | 16GB | 512GB | Windows 11 Home | Xám),MSI,Office,AMD,AMD Ryzen AI,Integrated,AMD Radeon,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.9,True,True
P0261,Laptop Lenovo ThinkPad P16s Gen3 T 21KS0038VA (Intel Core Ultra 5 125H | RTX 500 Ada | 16 inch WUXGA | 32GB | 1TB | No OS | Đen),Lenovo,Office,Intel,Intel Core Ultra,Dedicated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.82,True,True
P0262,Laptop ASUS Vivobook 14 X1407CA-LY008W (Intel Core Ultra 5 Processor 225H | Intel Graphics | 14 inch WUXGA | 16GB | 512GB | Win 11 | Bạc),Asus,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.46,True,True
P0263,Laptop Dell Pro 13 Plus PB13250 42LTU7PB13250 (Intel Core Ultra 7 265U | 16GB | 512GB | 13.3 inch FHD+ | Win 11),Dell,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",FHD / FHD+,60 - 90,Windows,1.23,True,True
P0264,Laptop Asus Zenbook 14 UX3405CA-PZ204WS (Intel Core Ultra 9 285H | 32GB | 1TB | Intel Arc | 14 inch 3K OLED | Cảm ứng | Win 11 | Office | Xanh),Asus,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.28,True,True
P0265,Laptop HP OmniBook Ultra Flip 14-fh0097TU BZ7S3PA (Intel Core Ultra 7 Lunar Lake - 258V | 32GB | 1 TB | Intel Arc 140V | 14 inch 2.8K OLED | Win 11 | Office),HP,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,32.0,DDR5 / LPDDR5,1024.0,SSD,"13"" - 14.5""",2K - 3K,120 - 165,Windows,1.327,True,True
P0266,Laptop Acer Swift Go SFG14-71-74CP NX.KPZSV.004 (Hàng Giá Sốc),Acer,Office,Intel,Intel Core,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"13"" - 14.5""",2K - 3K,60 - 90,Windows,1.2,False,True
P0267,Laptop ASUS ROG Strix G16 G615LW-S5219W (Intel Core Ultra 9 Processor 275HX | RTX 5080 16GB | 16 inch 2.5K IPS 240Hz | 16GB | 1TB | Win 11 | Xám),Asus,Gaming,Intel,Intel Core Ultra,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,1024.0,SSD,"15.6"" - 16.0""",2K - 3K,240+,Windows,2.65,True,True
P0268,Laptop Acer Gaming Nitro ProPanel ANV15-41-R0FE NH.QPFSV.005 (AMD Ryzen 7 7735HS | RTX 3050 6 GB GDDR6 VRAM | 15.6 inch FHD | 16GB | 512GB | Windows 11 Home SL | Đen),Acer,Gaming,AMD,AMD Ryzen,Dedicated,Nvidia RTX/GTX,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,240+,Windows,2.1,False,True
P0269,Laptop Acer Aspire 16 AI A16-71M-71U7 NX.J4YSV.002 (Intel Core Ultra 7 155H | 16GB | 512GB | Intel Arc | 16 inch FHD+ | Win 11 | Xám),Acer,Office,Intel,Intel Core Ultra,Integrated,Intel Arc / Integrated,16.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",FHD / FHD+,60 - 90,Windows,1.64,True,True
P0270,Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 83J3002SVN (AMD Ryzen 7 7735HS | 32GB | 512GB | AMD Radeon 680M | 15.1 inch WQXGA | Win 11 | Xám),Lenovo,Office,AMD,AMD Ryzen,Integrated,AMD Radeon,32.0,DDR5 / LPDDR5,512.0,SSD,"15.6"" - 16.0""",2K - 3K,120 - 165,Windows,1.49,False,True
